"Blood Bank ID","Location","Blood Bank Contact Number","Blood Bank Address"
"1","City Center","555-123-4567","789 Oak St, City"
"2","Town Square","555-987-6543","456 Elm St, Town"
"3","Village Plaza","555-321-6789","123 Main St, Village"
"4","Riverside","555-555-5555","101 River Rd, Riverside"
"5","Parkside","555-123-9876","567 Park Ave, Parkside"
"6","Lakeside","555-987-3210","890 Lakeview Dr, Lakeside"
"7","Hilltop","555-789-0123","456 Hilltop Rd, Hilltop"
"8","Meadow","555-654-3210","789 Meadow Ln, Meadow"
"9","Oceanview","555-012-3456","123 Ocean Ave, Oceanview"
"10","Mountain","555-456-7890","456 Mountain Rd, Mountain"
